JDAY,SS
231.5,0.008
231.75,0.005
232,0.003
232.25,0.005
232.5,0.003
232.75,0.003
233,0.004
233.25,0.005
233.5,0.006
233.75,0.002
234,0.001
234.25,0.001
234.5,0.002
234.75,0.005
235,0.006
235.25,0.01
235.5,0.015
235.75,0.027
236,0.031
236.25,0.021
236.5,0.016
236.75,0.02
237,0.031
237.25,0.026
237.5,0.03
237.75,0.035
238,0.035
238.25,0.026
238.5,0.022
238.75,0.032
239,0.052
239.25,0.065
239.5,0.062
239.75,0.046
240,0.057
240.25,0.057
240.5,0.042
240.75,0.065
241,0.101
241.25,0.117
241.5,0.101
241.75,0.096
242,0.097
242.25,0.092
242.5,0.07
242.75,0.075
243,0.087
243.25,0.096
243.5,0.08
243.75,0.061
244,0.053
244.25,0.055
244.5,0.051
244.75,0.038
245,0.03
245.25,0.034
245.5,0.036
245.75,0.021
246,0.015
246.25,0.024
246.5,0.03
246.75,0.031
247,0.024
247.25,0.042
247.5,0.046
247.75,0.056
248,0.101
248.25,0.124
248.5,0.133
248.75,0.127
249,0.228
249.25,0.327
249.5,0.428
249.75,0.456
250,0.469
250.25,0.374
250.5,0.295
250.75,0.318
251,0.305
251.25,0.28
251.5,0.253
251.75,0.243
252,0.274
252.25,0.318
252.5,0.28
252.75,0.241
253,0.208
253.25,0.163
253.5,0.126
253.75,0.105
254,0.109
254.25,0.113
254.5,0.08
254.75,0.088
255,0.102
255.25,0.174
255.5,0.152
255.75,0.15
256,0.176
256.25,0.15
256.5,0.115
256.75,0.087
257,0.069
257.25,0.058
257.5,0.048
257.75,0.037
258,0.025
258.25,0.021
258.5,0.032
258.75,0.019
259,0.022
259.25,0.033
259.5,0.018
259.75,0.036
260,0.047
260.25,0.068
260.5,0.071
260.75,0.054
261,0.038
261.25,0.023
261.5,0.029
261.75,0.029
262,0.034
262.25,0.044
262.5,0.034
262.75,0.05
263,0.055
263.25,0.049
263.5,0.049
263.75,0.052
264,0.063
264.25,0.069
264.5,0.055
264.75,0.048
265,0.042
265.25,0.044
265.5,0.04
265.75,0.035
266,0.027
