JDAY,PO4
227.25,6.32E-04
227.5,5.79E-04
227.75,5.47E-04
228,6.64E-04
228.25,7.18E-04
228.5,6.72E-04
228.75,6.17E-04
229,6.43E-04
229.25,6.86E-04
229.5,6.53E-04
229.75,5.86E-04
230,6.05E-04
230.25,6.34E-04
230.5,5.76E-04
230.75,5.23E-04
231,5.52E-04
231.25,5.94E-04
231.5,5.39E-04
231.75,4.87E-04
232,5.08E-04
232.25,5.46E-04
232.5,5.02E-04
232.75,4.56E-04
233,4.81E-04
233.25,5.28E-04
233.5,4.98E-04
233.75,4.62E-04
234,4.61E-04
234.25,4.92E-04
234.5,4.58E-04
234.75,4.22E-04
235,4.69E-04
235.25,5.44E-04
235.5,5.35E-04
235.75,5.30E-04
236,6.12E-04
236.25,6.56E-04
236.5,6.16E-04
236.75,6.46E-04
237,8.23E-04
237.25,8.53E-04
237.5,8.74E-04
237.75,7.75E-04
238,7.91E-04
238.25,8.02E-04
238.5,7.24E-04
238.75,6.46E-04
239,7.02E-04
239.25,7.40E-04
239.5,6.81E-04
239.75,6.21E-04
240,6.52E-04
240.25,7.02E-04
240.5,6.41E-04
240.75,5.79E-04
241,6.67E-04
241.25,7.16E-04
241.5,7.44E-04
241.75,6.58E-04
242,6.96E-04
242.25,7.55E-04
242.5,6.83E-04
242.75,6.02E-04
243,6.38E-04
243.25,6.96E-04
243.5,6.24E-04
243.75,5.53E-04
244,5.93E-04
244.25,6.83E-04
244.5,6.30E-04
244.75,6.01E-04
245,6.11E-04
245.25,6.72E-04
245.5,6.31E-04
245.75,5.99E-04
246,6.36E-04
246.25,6.55E-04
246.5,5.94E-04
246.75,5.29E-04
247,5.98E-04
247.25,6.60E-04
247.5,5.99E-04
247.75,5.67E-04
248,6.86E-04
248.25,8.23E-04
248.5,7.08E-04
248.75,6.25E-04
249,7.31E-04
249.25,8.09E-04
249.5,7.18E-04
249.75,6.41E-04
250,8.37E-04
250.25,8.63E-04
250.5,1.11E-03
250.75,9.38E-04
251,9.70E-04
251.25,1.00E-03
251.5,8.77E-04
251.75,7.35E-04
252,7.93E-04
252.25,8.55E-04
252.5,8.76E-04
252.75,7.39E-04
253,7.55E-04
253.25,7.93E-04
253.5,7.08E-04
253.75,5.98E-04
254,6.50E-04
254.25,7.22E-04
254.5,6.35E-04
254.75,5.51E-04
255,7.09E-04
255.25,9.30E-04
255.5,8.47E-04
255.75,7.52E-04
256,8.80E-04
256.25,1.26E-03
256.5,1.11E-03
256.75,9.33E-04
257,9.73E-04
257.25,9.94E-04
257.5,8.55E-04
257.75,6.67E-04
258,7.11E-04
258.25,7.46E-04
258.5,6.45E-04
258.75,5.37E-04
259,5.89E-04
259.25,6.52E-04
259.5,6.10E-04
259.75,5.37E-04
260,7.00E-04
260.25,1.01E-03
260.5,8.80E-04
260.75,6.67E-04
261,6.80E-04
261.25,8.03E-04
261.5,7.11E-04
261.75,6.55E-04
262,8.64E-04
262.25,1.05E-03
262.5,9.84E-04
262.75,9.96E-04
263,1.39E-03
263.25,1.84E-03
263.5,1.67E-03
263.75,1.45E-03
264,1.56E-03
264.25,1.99E-03
264.5,1.88E-03
264.75,1.60E-03
265,1.65E-03
265.25,1.80E-03
265.5,1.63E-03
265.75,1.30E-03
266,1.47E-03
266.25,1.51E-03
266.5,1.36E-03
266.75,1.17E-03
267,1.30E-03
267.25,1.36E-03
267.5,1.25E-03
267.75,1.05E-03
268,1.39E-03
268.25,1.54E-03
268.5,1.54E-03
268.75,1.30E-03
269,1.44E-03
269.25,1.53E-03
269.5,1.41E-03
269.75,1.47E-03
270,1.56E-03
270.25,1.61E-03
270.5,1.54E-03
270.75,1.60E-03
271,1.89E-03
271.25,2.18E-03
271.5,2.01E-03
271.75,1.93E-03
272,2.10E-03
272.25,2.58E-03
272.5,2.49E-03
272.75,2.38E-03
273,2.44E-03
273.25,2.75E-03
273.5,2.64E-03
273.75,2.52E-03
274,2.62E-03
274.25,2.69E-03
274.5,2.68E-03
274.75,2.32E-03
275,2.42E-03
275.25,2.52E-03
275.5,2.36E-03
275.75,1.90E-03
276,1.92E-03
276.25,1.96E-03
276.5,1.77E-03
276.75,1.43E-03
277,1.66E-03
277.25,1.74E-03
277.5,1.60E-03
277.75,1.59E-03
278,1.68E-03
278.25,1.77E-03
278.5,1.56E-03
278.75,1.30E-03
279,1.50E-03
279.25,1.72E-03
279.5,1.60E-03
279.75,0.001311568
280,1.67E-03
280.25,0.00217585
280.5,2.07E-03
280.75,1.76E-03
281,2.18E-03
281.25,2.43E-03
281.5,2.29E-03
281.75,1.82E-03
282,1.87E-03
282.25,1.92E-03
282.5,1.66E-03
282.75,1.27E-03
283,1.39E-03
283.25,1.46E-03
283.5,1.20E-03
283.75,8.67E-04
284,9.46E-04
284.25,1.01E-03
284.5,8.16E-04
284.75,5.95E-04
285,6.86E-04
285.25,7.74E-04
285.5,6.46E-04
285.75,4.99E-04
286,6.42E-04
286.25,8.38E-04
286.5,6.87E-04
286.75,5.65E-04
287,7.94E-04
287.25,1.23E-03
287.5,1.12E-03
287.75,9.88E-04
288,1.52E-03
288.25,2.30E-03
288.5,1.99E-03
288.75,1.58E-03
289,1.98E-03
289.25,2.63E-03
289.5,2.38E-03
289.75,2.03E-03
290,2.43E-03
290.25,3.11E-03
290.5,3.11E-03
290.75,3.09E-03
291,4.31E-03
291.25,5.45E-03
291.5,5.09E-03
291.75,4.27E-03
292,4.24E-03
292.25,4.41E-03
292.5,4.04E-03
292.75,3.65E-03
293,3.95E-03
293.25,4.01E-03
293.5,3.81E-03
293.75,3.15E-03
294,3.35E-03
294.25,3.42E-03
294.5,3.10E-03
294.75,2.58E-03
295,2.77E-03
295.25,2.91E-03
295.5,2.61E-03
295.75,2.17E-03
296,2.40E-03
296.25,2.85E-03
296.5,2.64E-03
296.75,2.23E-03
297,2.59E-03
297.25,3.03E-03
297.5,2.74E-03
297.75,2.37E-03
298,2.66E-03
298.25,3.31E-03
298.5,3.36E-03
298.75,3.20E-03
299,3.28E-03
299.25,3.34E-03
299.5,3.13E-03
299.75,2.67E-03
300,2.95E-03
300.25,3.04E-03
300.5,2.93E-03
300.75,2.92E-03
301,3.36E-03
301.25,3.66E-03
301.5,3.62E-03
301.75,3.24E-03
302,3.59E-03
302.25,3.72E-03
302.5,3.79E-03
302.75,3.77E-03
303,3.83E-03
303.25,3.88E-03
303.5,3.77E-03
303.75,3.70E-03
304,3.91E-03
304.25,4.16E-03
304.5,3.93E-03
304.75,3.54E-03
305,3.74E-03
305.25,3.92E-03
305.5,3.71E-03
305.75,3.35E-03
306,3.54E-03
306.25,3.81E-03
306.5,3.92E-03
306.75,3.53E-03
307,3.76E-03
307.25,4.02E-03
307.5,3.84E-03
307.75,3.53E-03
308,4.08E-03
308.25,4.38E-03
